time_on_page,loan_amount_requested,hour_of_day,monthly_income,existing_emi,rent,total_obligations,dti_ratio,avg_monthly_balance,bounce_count_6m,income_stability_score,clicked,converted,rejected,defaulted_true,defaulted_observed,channel_app,channel_sms,channel_web,channel_whatsapp,device_tier_high,device_tier_low,device_tier_mid
129.4489723680911,64240.377808746285,22,32012.325558544548,6339.090745300927,2884.567745680314,9223.65849098124,0.2881283483798419,35111.17958070938,1,0.9384535967284802,1,1,0,0,0,True,False,False,False,True,False,False
143.50146885354587,79901.88512354287,14,34042.09053019232,17605.742058198906,7949.915219777936,25555.657277976843,0.7507076351645102,48190.230819078664,0,0.5571654090166238,1,1,1,1,-1,False,True,False,False,True,False,False
8.19403356077665,149099.48744015652,20,13725.165719283492,5525.904300443478,6211.953020704841,11737.85732114832,0.8552069651630467,5912.091603072485,0,0.6864063728710733,1,0,1,1,-1,False,False,True,False,False,False,True
131.0340473421603,134389.5435553368,2,31270.40803610443,7872.422679111692,2957.760907687005,10830.183586798696,0.3463396951614542,28663.867164910473,1,0.7293541564956935,1,1,0,0,0,True,False,False,False,False,False,True
63.19420263435433,165674.0692381333,23,37789.57350338105,22147.705198200874,5676.692592045433,27824.39779024631,0.7362982751778568,47205.9518597724,0,0.7761211561435926,1,0,1,1,-1,False,False,False,True,False,True,False
68.16369819018024,173592.46718684255,21,15094.795703479593,4021.127563569018,3491.2985028369094,7512.4260664059275,0.49768318922489246,8461.312199616645,0,0.7758479517902063,0,0,0,0,0,False,False,False,True,False,False,True
20.95656203850417,182892.15971041593,14,21946.677525833165,3676.4752592879627,3826.8496927653323,7503.324952053295,0.341888877859586,32006.031457296933,0,0.4997814905293949,1,1,0,0,0,False,False,False,True,True,False,False
103.23938724098639,47109.3975363458,3,35240.60194381113,6653.730845465249,4888.172707191028,11541.903552656277,0.3275172078802484,28530.841184490506,0,0.7997139824444419,0,0,0,0,0,False,False,True,False,False,False,True
273.1868397726995,138287.4524532386,14,32915.91329111448,8491.125922948657,11122.353782647693,19613.47970559635,0.5958661858211582,22661.236965338994,0,0.7691250624448397,1,1,1,1,-1,True,False,False,False,True,False,False
42.91260827012216,132615.323153803,8,33685.357832635535,13941.744720416182,4551.439590420823,18493.184310837005,0.5489977100056266,11163.885257028567,0,0.879594596267495,0,0,0,0,0,False,False,True,False,False,False,True
152.7965849798072,36803.63969481065,17,41940.46736640931,1521.5962711984696,1375.8873407852848,2897.4836119837546,0.06908563003531021,59913.63561223929,1,0.9701891374893299,0,0,0,0,0,False,False,False,True,False,False,True
66.27039638871194,143325.78352554023,12,15743.117164054887,2067.6669019700157,3733.4240446828417,5801.090946652857,0.3684842643423925,9296.073202869287,1,0.4123537658811506,0,0,1,1,-1,False,True,False,False,False,True,False
44.36798911438597,224555.71313108137,8,51757.779774619834,14245.796487617448,15965.746834382633,30211.54332200008,0.5837101872135316,21418.669061161916,0,0.6048974012288558,1,1,1,0,-1,False,False,True,False,False,False,True
17.08887967355269,145474.58761587302,3,30965.72691026011,6899.16031450813,8773.567967520365,15672.728282028495,0.5061314506663666,23107.295993770604,2,0.8119116160013914,0,0,0,1,1,False,False,False,True,False,True,False
167.48366167921148,39521.47054964987,12,26954.387079120836,10004.426216085643,8534.958446015264,18539.384662100907,0.6878058331536583,40786.585883378924,1,0.6919544800828032,1,1,1,1,-1,False,False,False,True,False,True,False
